Tipo,Valor,Metodo,Saltos,Tempo_ns
ID,1,Hash,1,598
ID,1,Binaria,6,942
INT,86.2745,Hash,6,6296
INT,86.2745,Binaria,14,4842
ID,2,Hash,1,112
ID,2,Binaria,6,344
INT,90.1961,Hash,2,1572
INT,90.1961,Binaria,14,1859
ID,3,Hash,1,73
ID,3,Binaria,6,222
INT,54.1176,Hash,2,1120
INT,54.1176,Binaria,13,1620
ID,4,Hash,1,105
ID,4,Binaria,6,221
INT,92.1569,Hash,6,2411
INT,92.1569,Binaria,14,2645
ID,5,Hash,1,74
ID,5,Binaria,6,223
INT,75.2941,Hash,4,1681
INT,75.2941,Binaria,14,2010
ID,6,Hash,1,72
ID,6,Binaria,6,249
INT,81.1765,Hash,2,1234
INT,81.1765,Binaria,14,1537
ID,7,Hash,1,74
ID,7,Binaria,6,224
INT,99.6078,Hash,2,1081
INT,99.6078,Binaria,14,1318
ID,8,Hash,1,73
ID,8,Binaria,6,216
INT,84.3137,Hash,4,1618
INT,84.3137,Binaria,14,1945
ID,9,Hash,1,68
ID,9,Binaria,6,250
INT,89.0196,Hash,6,2136
INT,89.0196,Binaria,14,2459
ID,10,Hash,1,72
ID,10,Binaria,6,220
INT,78.0392,Hash,4,1713
INT,78.0392,Binaria,14,1955
ID,11,Hash,1,75
ID,11,Binaria,6,223
INT,71.7647,Hash,2,1128
INT,71.7647,Binaria,13,1502
ID,12,Hash,1,83
ID,12,Binaria,6,252
INT,23.9216,Hash,2,1129
INT,23.9216,Binaria,13,1445
ID,13,Hash,1,79
ID,13,Binaria,7,357
INT,51.7647,Hash,2,1051
INT,51.7647,Binaria,13,1500
ID,14,Hash,1,80
ID,14,Binaria,7,344
INT,94.902,Hash,2,1331
INT,94.902,Binaria,13,1786
ID,15,Hash,1,127
ID,15,Binaria,7,346
INT,38.4314,Hash,2,1304
INT,38.4314,Binaria,14,1680
ID,16,Hash,1,122
ID,16,Binaria,7,305
INT,75.6863,Hash,4,2033
INT,75.6863,Binaria,13,1969
ID,17,Hash,1,128
ID,17,Binaria,7,316
INT,72.549,Hash,4,1906
INT,72.549,Binaria,13,2141
ID,18,Hash,1,120
ID,18,Binaria,7,370
INT,95.2941,Hash,2,1393
INT,95.2941,Binaria,14,1715
ID,19,Hash,1,133
ID,19,Binaria,7,310
INT,93.7255,Hash,2,1304
INT,93.7255,Binaria,14,1504
ID,20,Hash,1,151
ID,20,Binaria,5,301
INT,33.3333,Hash,2,1476
INT,33.3333,Binaria,13,1496
ID,21,Hash,1,124
ID,21,Binaria,6,325
INT,60,Hash,2,1411
INT,60,Binaria,14,2004
ID,22,Hash,1,121
ID,22,Binaria,6,270
INT,45.8824,Hash,2,1254
INT,45.8824,Binaria,13,1437
ID,23,Hash,1,136
ID,23,Binaria,6,292
INT,81.9608,Hash,2,1516
INT,81.9608,Binaria,13,1715
ID,24,Hash,1,107
ID,24,Binaria,6,317
INT,92.549,Hash,10,3299
INT,92.549,Binaria,14,3770
ID,25,Hash,1,147
ID,25,Binaria,6,289
INT,89.0196,Hash,6,2715
INT,89.0196,Binaria,14,2944
ID,26,Hash,1,133
ID,26,Binaria,6,281
INT,79.6078,Hash,4,2108
INT,79.6078,Binaria,14,2395
ID,27,Hash,1,116
ID,27,Binaria,6,273
INT,86.2745,Hash,6,2849
INT,86.2745,Binaria,14,3072
ID,28,Hash,1,145
ID,28,Binaria,6,299
INT,84.7059,Hash,2,1414
INT,84.7059,Binaria,14,1750
ID,29,Hash,1,125
ID,29,Binaria,2,195
INT,67.451,Hash,2,1320
INT,67.451,Binaria,13,1833
ID,30,Hash,1,120
ID,30,Binaria,6,555
INT,65.8824,Hash,2,1283
INT,65.8824,Binaria,14,1590
ID,31,Hash,1,124
ID,31,Binaria,6,380
INT,89.4118,Hash,4,2088
INT,89.4118,Binaria,14,2339
ID,32,Hash,1,131
ID,32,Binaria,6,289
INT,87.451,Hash,2,1431
INT,87.451,Binaria,13,1584
ID,33,Hash,1,130
ID,33,Binaria,6,279
INT,60.7843,Hash,2,1293
INT,60.7843,Binaria,14,1755
ID,34,Hash,1,170
ID,34,Binaria,6,295
INT,94.5098,Hash,2,1458
INT,94.5098,Binaria,13,1562
ID,35,Hash,1,145
ID,35,Binaria,6,382
INT,96.0784,Hash,2,1360
INT,96.0784,Binaria,13,1740
ID,36,Hash,1,163
ID,36,Binaria,6,302
INT,85.098,Hash,4,1987
INT,85.098,Binaria,14,2238
ID,37,Hash,1,132
ID,37,Binaria,6,370
INT,68.2353,Hash,2,1548
INT,68.2353,Binaria,13,1578
ID,38,Hash,1,165
ID,38,Binaria,6,295
INT,67.8431,Hash,4,2293
INT,67.8431,Binaria,13,2379
ID,39,Hash,1,135
ID,39,Binaria,6,365
INT,54.5098,Hash,2,1550
INT,54.5098,Binaria,14,1910
ID,40,Hash,1,92
ID,40,Binaria,6,319
INT,80,Hash,6,2690
INT,80,Binaria,14,3054
ID,41,Hash,1,135
ID,41,Binaria,6,282
INT,90.5882,Hash,2,1601
INT,90.5882,Binaria,14,1607
ID,42,Hash,1,72
ID,42,Binaria,6,215
INT,97.6471,Hash,2,1177
INT,97.6471,Binaria,13,1168
ID,43,Hash,1,71
ID,43,Binaria,6,213
INT,87.0588,Hash,4,1683
INT,87.0588,Binaria,13,1833
ID,44,Hash,1,105
ID,44,Binaria,6,215
INT,87.0588,Hash,4,1509
INT,87.0588,Binaria,13,1480
ID,45,Hash,1,70
ID,45,Binaria,6,244
INT,78.0392,Hash,4,1743
INT,78.0392,Binaria,14,1749
ID,46,Hash,1,81
ID,46,Binaria,6,214
INT,37.2549,Hash,2,1152
INT,37.2549,Binaria,13,1572
ID,47,Hash,1,72
ID,47,Binaria,6,220
INT,28.6275,Hash,2,1048
INT,28.6275,Binaria,14,1492
ID,48,Hash,1,73
ID,48,Binaria,6,212
INT,93.3333,Hash,4,1597
INT,93.3333,Binaria,14,1901
ID,49,Hash,1,65
ID,49,Binaria,6,243
INT,93.3333,Hash,4,1485
INT,93.3333,Binaria,14,1554
ID,50,Hash,1,73
ID,50,Binaria,6,210
INT,44.7059,Hash,2,1226
INT,44.7059,Binaria,13,1449
ID,51,Hash,1,73
ID,51,Binaria,6,217
INT,55.2941,Hash,2,1012
INT,55.2941,Binaria,13,1195
ID,52,Hash,1,102
ID,52,Binaria,6,212
INT,66.2745,Hash,2,1125
INT,66.2745,Binaria,14,1259
ID,53,Hash,1,73
ID,53,Binaria,6,210
INT,59.2157,Hash,2,9684
INT,59.2157,Binaria,13,1334
ID,54,Hash,1,73
ID,54,Binaria,6,223
INT,98.0392,Hash,2,1061
INT,98.0392,Binaria,13,1405
ID,55,Hash,1,72
ID,55,Binaria,6,217
INT,98.4314,Hash,4,1656
INT,98.4314,Binaria,14,1902
ID,56,Hash,1,73
ID,56,Binaria,6,221
INT,74.5098,Hash,2,1213
INT,74.5098,Binaria,14,1484
ID,57,Hash,1,73
ID,57,Binaria,6,270
INT,72.9412,Hash,2,1197
INT,72.9412,Binaria,13,1096
ID,58,Hash,1,73
ID,58,Binaria,7,365
INT,96.4706,Hash,4,1575
INT,96.4706,Binaria,13,1895
ID,59,Hash,1,75
ID,59,Binaria,7,302
INT,85.098,Hash,4,1626
INT,85.098,Binaria,14,1740
ID,60,Hash,1,81
ID,60,Binaria,7,284
INT,70.1961,Hash,4,1670
INT,70.1961,Binaria,13,2054
ID,61,Hash,1,76
ID,61,Binaria,7,228
INT,98.8235,Hash,4,1574
INT,98.8235,Binaria,14,1776
ID,62,Hash,1,72
ID,62,Binaria,7,219
INT,69.0196,Hash,2,1142
INT,69.0196,Binaria,14,1359
ID,63,Hash,1,72
ID,63,Binaria,7,230
INT,79.6078,Hash,4,1701
INT,79.6078,Binaria,14,1640
ID,64,Hash,1,72
ID,64,Binaria,7,226
INT,67.8431,Hash,4,1628
INT,67.8431,Binaria,13,1448
ID,65,Hash,1,74
ID,65,Binaria,7,258
INT,72.549,Hash,4,1632
INT,72.549,Binaria,13,1711
ID,66,Hash,1,73
ID,66,Binaria,7,225
INT,94.1176,Hash,2,1155
INT,94.1176,Binaria,14,1547
ID,67,Hash,1,72
ID,67,Binaria,7,223
INT,49.0196,Hash,2,1147
INT,49.0196,Binaria,14,1317
ID,68,Hash,1,107
ID,68,Binaria,7,227
INT,44.3137,Hash,2,1057
INT,44.3137,Binaria,14,1586
ID,69,Hash,1,73
ID,69,Binaria,4,208
INT,75.6863,Hash,4,1500
INT,75.6863,Binaria,13,1746
ID,70,Hash,1,71
ID,70,Binaria,7,337
INT,92.1569,Hash,6,2304
INT,92.1569,Binaria,14,2428
ID,71,Hash,1,71
ID,71,Binaria,7,308
INT,83.5294,Hash,4,1603
INT,83.5294,Binaria,13,1876
ID,72,Hash,1,75
ID,72,Binaria,1,171
INT,80,Hash,6,1988
INT,80,Binaria,14,2197
ID,73,Hash,1,73
ID,73,Binaria,7,395
INT,76.0784,Hash,2,1120
INT,76.0784,Binaria,13,1266
ID,74,Hash,1,74
ID,74,Binaria,5,263
INT,98.4314,Hash,4,1592
INT,98.4314,Binaria,14,1829
ID,75,Hash,1,74
ID,75,Binaria,7,325
INT,91.7647,Hash,2,1077
INT,91.7647,Binaria,14,1513
ID,76,Hash,1,82
ID,76,Binaria,7,245
INT,83.5294,Hash,4,1439
INT,83.5294,Binaria,13,1490
ID,77,Hash,1,73
ID,77,Binaria,7,254
INT,39.6078,Hash,4,1630
INT,39.6078,Binaria,14,1930
ID,78,Hash,1,81
ID,78,Binaria,7,254
INT,75.2941,Hash,4,1489
INT,75.2941,Binaria,14,1785
ID,79,Hash,1,84
ID,79,Binaria,7,230
INT,92.1569,Hash,6,2044
INT,92.1569,Binaria,14,2081
ID,80,Hash,1,83
ID,80,Binaria,7,237
INT,92.9412,Hash,2,1105
INT,92.9412,Binaria,14,1502
ID,81,Hash,1,73
ID,81,Binaria,7,230
INT,80,Hash,6,2036
INT,80,Binaria,14,2050
ID,82,Hash,1,84
ID,82,Binaria,7,223
INT,42.7451,Hash,2,1075
INT,42.7451,Binaria,14,1567
ID,83,Hash,1,79
ID,83,Binaria,7,221
INT,70.1961,Hash,4,1506
INT,70.1961,Binaria,13,1728
ID,84,Hash,1,82
ID,84,Binaria,7,226
INT,71.3725,Hash,2,1129
INT,71.3725,Binaria,13,1248
ID,85,Hash,1,73
ID,85,Binaria,7,261
INT,68.6275,Hash,2,1137
INT,68.6275,Binaria,13,1338
ID,86,Hash,1,74
ID,86,Binaria,7,227
INT,43.1373,Hash,2,1047
INT,43.1373,Binaria,13,1212
ID,87,Hash,1,73
ID,87,Binaria,7,224
INT,92.549,Hash,10,2961
INT,92.549,Binaria,14,3088
ID,88,Hash,1,68
ID,88,Binaria,7,238
INT,39.6078,Hash,4,1515
INT,39.6078,Binaria,14,1582
ID,89,Hash,1,74
ID,89,Binaria,7,229
INT,92.549,Hash,10,2820
INT,92.549,Binaria,14,2674
ID,90,Hash,1,79
ID,90,Binaria,7,230
INT,89.4118,Hash,4,1736
INT,89.4118,Binaria,14,1831
ID,91,Hash,1,71
ID,91,Binaria,7,220
INT,86.2745,Hash,6,2086
INT,86.2745,Binaria,14,2296
ID,92,Hash,1,80
ID,92,Binaria,7,232
INT,98.8235,Hash,4,1464
INT,98.8235,Binaria,14,1724
ID,93,Hash,1,73
ID,93,Binaria,7,231
INT,92.549,Hash,10,2696
INT,92.549,Binaria,14,2680
ID,94,Hash,1,72
ID,94,Binaria,7,230
INT,67.0588,Hash,2,2393
INT,67.0588,Binaria,14,2270
ID,95,Hash,1,196
ID,95,Binaria,7,477
INT,84.3137,Hash,4,2208
INT,84.3137,Binaria,14,2288
ID,96,Hash,1,156
ID,96,Binaria,7,292
INT,69.8039,Hash,2,1546
INT,69.8039,Binaria,13,1850
ID,97,Hash,1,129
ID,97,Binaria,7,385
INT,96.4706,Hash,4,2539
INT,96.4706,Binaria,13,2677
ID,98,Hash,1,136
ID,98,Binaria,7,382
INT,89.0196,Hash,6,3290
INT,89.0196,Binaria,14,3693
ID,99,Hash,1,140
ID,99,Binaria,7,405
INT,92.549,Hash,10,4184
INT,92.549,Binaria,14,4010
ID,100,Hash,1,163
ID,100,Binaria,7,409
INT,43.5294,Hash,2,1678
INT,43.5294,Binaria,13,2015
